id,table_name,field_name,field_type,field_size,is_auto
1,eav_addon_date,id,int,11,1
2,eav_addon_date,parent_id,int,11,0
3,eav_addon_date,ea_code,char,4,0
5,eav_addon_date,user_id,int,11,0
7,eav_addon_ec_id,id,int,11,1
8,eav_addon_ec_id,parent_id,int,11,0
9,eav_addon_ec_id,ea_code,char,4,0
10,eav_addon_ec_id,ea_value,int,11,0
11,eav_addon_ec_id,user_id,int,11,0
13,eav_addon_exa_token,id,int,11,1
14,eav_addon_exa_token,parent_id,int,11,0
15,eav_addon_exa_token,ea_code,char,4,0
16,eav_addon_exa_token,ea_value,varchar,32,0
17,eav_addon_exa_token,user_id,int,11,0
19,eav_addon_num,id,int,11,1
20,eav_addon_num,parent_id,int,11,0
21,eav_addon_num,ea_code,char,4,0
22,eav_addon_num,ea_value,int,16,0
23,eav_addon_num,user_id,int,11,0
25,eav_addon_text,id,int,11,1
26,eav_addon_text,parent_id,int,11,0
27,eav_addon_text,ea_code,char,4,0
28,eav_addon_text,ea_value,text,,0
29,eav_addon_text,user_id,int,11,0
31,eav_addon_varchar,id,int,11,1
32,eav_addon_varchar,parent_id,int,11,0
33,eav_addon_varchar,ea_code,char,4,0
34,eav_addon_varchar,ea_value,varchar,1024,0
35,eav_addon_varchar,user_id,int,11,0
37,eav_addon_vc128uniq,id,int,11,1
38,eav_addon_vc128uniq,parent_id,int,11,0
39,eav_addon_vc128uniq,ea_code,char,4,0
40,eav_addon_vc128uniq,ea_value,varchar,128,0
41,eav_addon_vc128uniq,ea_value_hash,varchar,32,0
42,eav_addon_vc128uniq,user_id,int,11,0
44,eav_addon_decimal,id,int,11,1
45,eav_addon_decimal,parent_id,int,11,0
46,eav_addon_decimal,ea_code,char,4,0
47,eav_addon_decimal,ea_value,decimal,"10,4",0
48,eav_addon_decimal,user_id,int,11,0
50,ecb_parent_child_matrix,id,int,11,1
51,ecb_parent_child_matrix,ecb_parent_id,int,11,0
52,ecb_parent_child_matrix,ecb_child_id,int,11,0
53,ecb_parent_child_matrix,parent_child_hash,char,32,0
54,ecb_parent_child_matrix,user_id,int,11,0
56,ecb_av_addon_varchar,id,int,11,1
57,ecb_av_addon_varchar,parent_id,int,11,0
58,ecb_av_addon_varchar,ea_code,char,4,0
59,ecb_av_addon_varchar,ea_value,varchar,1024,0
60,ecb_av_addon_varchar,user_id,int,11,0
62,exav_addon_date,id,int,11,1
63,exav_addon_date,parent_id,int,11,0
64,exav_addon_date,exa_token,varchar,32,0
66,exav_addon_date,user_id,int,11,0
68,exav_addon_decimal,id,int,11,1
69,exav_addon_decimal,parent_id,int,11,0
70,exav_addon_decimal,exa_token,varchar,32,0
71,exav_addon_decimal,user_id,int,11,0
72,exav_addon_ec_id,id,int,11,1
73,exav_addon_ec_id,parent_id,int,11,0
74,exav_addon_ec_id,exa_token,varchar,32,0
75,exav_addon_ec_id,user_id,int,11,0
76,exav_addon_ec_id,ec_id,int,11,0
77,exav_addon_exa_token,id,int,11,1
78,exav_addon_exa_token,parent_id,int,11,0
79,exav_addon_exa_token,exa_token,varchar,32,0
80,exav_addon_exa_token,user_id,int,11,0
81,exav_addon_exa_token,exa_value_token,varchar,32,0
82,exav_addon_num,id,int,11,1
83,exav_addon_num,parent_id,int,11,0
84,exav_addon_num,exa_token,varchar,32,0
85,exav_addon_num,user_id,int,11,0
86,exav_addon_num,exa_value,int,16,0
87,exav_addon_text,id,int,11,1
88,exav_addon_text,parent_id,int,11,0
89,exav_addon_text,exa_token,varchar,32,0
90,exav_addon_text,user_id,int,11,0
91,exav_addon_varchar,id,int,11,1
92,exav_addon_varchar,parent_id,int,11,0
93,exav_addon_varchar,exa_token,varchar,32,0
94,exav_addon_varchar,user_id,int,11,0
95,exav_addon_varchar,exa_value,varchar,1024,0
96,exav_addon_vc128uniq,id,int,11,1
97,exav_addon_vc128uniq,parent_id,int,11,0
98,exav_addon_vc128uniq,exa_token,varchar,32,0
99,exav_addon_vc128uniq,user_id,int,11,0
100,exav_addon_vc128uniq,exa_value,varchar,128,0
101,exav_addon_vc128uniq,exa_value_hash,varchar,32,0
102,entity,id,int,11,1
103,entity,code,varchar,4,0
104,entity,sn,varchar,64,0
105,entity,ln,varchar,1024,0
106,entity,user_id,int,11,0
107,entity,is_lib,tinyint,1,0
108,entity_attribute,id,int,11,1
109,entity_attribute,entity_code,varchar,4,0
110,entity_attribute,code,char,4,0
111,entity_attribute,sn,varchar,64,0
112,entity_attribute,ln,varchar,1024,0
113,entity_attribute,line_order,decimal,"10,2",0
114,entity_attribute,user_id,int,11,0
115,entity_child,id,int,11,1
116,entity_child,entity_code,varchar,4,0
117,entity_child,line_order,decimal,"10,2",0
118,entity_child,user_id,int,11,0
119,entity_child,is_active,tinyint,1,0
120,entity_child_base,id,int,11,1
121,entity_child_base,entity_code,varchar,4,0
122,entity_child_base,token,varchar,32,0
123,entity_child_base,sn,varchar,64,0
124,entity_child_base,ln,varchar,1024,0
125,entity_child_base,parent_id,int,11,0
126,entity_child_base,dna_code,varchar,32,0
127,entity_child_base,created_by,int,11,0
128,entity_child_base,line_order,decimal,"10,2",0
129,entity_child_base,is_active,tinyint,1,0
130,entity_child_base,user_id,int,11,0
131,entity_key_value,id,int,11,1
132,entity_key_value,coach_id,int,11,0
133,entity_key_value,entity_code,varchar,4,0
134,entity_key_value,domain_hash,varchar,32,0
135,entity_key_value,entity_key,varchar,128,0
136,entity_key_value,entity_value,varchar,256,0
137,entity_key_value,user_id,int,11,0
138,user_info,id,int,11,1
139,user_info,password,varchar,32,0
140,user_info,user_role_id,int,11,0
141,user_info,user_comm,varchar,32,0
142,user_info,is_mail_check,tinyint,1,0
143,user_info,is_active,tinyint,1,0
144,user_info,user_id,int,11,0
145,user_info,is_send_mail,tinyint,1,0
146,user_info,is_send_welcome_mail,tinyint,1,0
147,user_info,is_internal,int,11,0
148,user_info_log,id,int,11,1
149,user_info_log,password,varchar,32,0
150,user_info_log,user_role_id,int,11,0
151,user_info_log,user_comm,varchar,32,0
152,user_info_log,is_mail_check,tinyint,1,0
153,user_info_log,is_active,tinyint,1,0
154,user_info_log,user_id,int,11,0
155,user_info_log,is_send_mail,tinyint,1,0
156,user_info_log,is_send_welcome_mail,tinyint,1,0
157,user_info_log,is_internal,int,11,0
158,user_info_log,log_id,int,11,0
159,user_info_log,log_type_code,varchar,32,0
160,user_role,id,int,11,1
161,user_role,sn,char,3,0
162,user_role,ln,varchar,1024,0
163,user_role,home_page_url,varchar,256,0
164,user_role,user_id,int,11,0
165,user_role_permission,id,int,11,1
166,user_role_permission,user_role_id,int,11,0
167,user_role_permission,user_permission_ids,varchar,256,0
168,user_role_permission,user_id,int,11,0
169,user_role_permission_matrix,id,int,11,1
170,user_role_permission_matrix,user_role_id,int,11,0
171,user_role_permission_matrix,user_permission_id,int,11,0
172,user_role_permission_matrix,user_id,int,11,0
173,status_info,id,int,11,1
174,status_info,status_code,varchar,32,0
175,status_info,entity_code,varchar,4,0
176,status_info,child_comm_id,int,11,0
177,status_info,user_id,int,11,0
178,status_map,id,int,11,1
179,status_map,entity_code,varchar,4,0
180,status_map,status_code_start,varchar,32,0
181,status_map,status_code_end,varchar,32,0
182,status_map,user_id,int,11,0
183,sys_log,id,int,11,1
184,sys_log,sys_access_ip,varchar,32,0
185,sys_log,sys_access_name,varchar,32,0
186,sys_log,page_code,varchar,32,0
187,sys_log,action,varchar,512,0
188,sys_log,action_type,varchar,32,0
189,sys_log,access_key,varchar,128,0
